0_1	4
0_2	5
0_3	1
0_4	1
0_5	2.5
1_1	1.5
1_2	4
1_3	5
1_4	3.5
1_5	3
2_1	5
2_2	3
2_3	3
2_4	2
2_5	5
3_1	4
3_2	4.5
3_3	3
3_4	3.5
3_5	2
4_1	1
4_2	2
4_3	2
4_4	1
4_5	4.5
5_1	4
5_2	5
5_3	2.5
5_4	3
5_5	1
6_1	4
6_2	4
6_3	5
6_4	1
6_5	4
7_1	5
7_2	3
7_3	2
7_4	2.5
7_5	5
8_1	1.5
8_2	3
8_3	4.5
8_4	5
8_5	1
9_1	5
9_2	2
9_3	2
9_4	4.5
9_5	4.5
10_1	4.5
10_2	5
10_3	5
10_4	1
10_5	2.5
11_1	4
11_2	4.5
11_3	3.5
11_4	4
11_5	4
12_1	1.5
12_2	1.5
12_3	4.5
12_4	5
12_5	4.5
13_1	2
13_2	4.5
13_3	2
13_4	4.5
13_5	5
14_1	5
14_2	2
14_3	5
14_4	4.5
14_5	3
15_1	5
15_2	4
15_3	4
15_4	4.5
15_5	1.5
16_1	3.5
16_2	2.5
16_3	3.5
16_4	5
16_5	4.5
17_1	5
17_2	3.5
17_3	5
17_4	4.5
17_5	5
18_1	2.5
18_2	5
18_3	4.5
18_4	5
18_5	5
19_1	5
19_2	3.5
19_3	1.5
19_4	5
19_5	1.5
20_1	5
20_2	1
20_3	5
20_4	2.5
20_5	1.5
21_1	5
21_2	2
21_3	1.5
21_4	1
21_5	5
22_1	5
22_2	5
22_3	2
22_4	5
22_5	5
23_1	1
23_2	5
23_3	1
23_4	4.5
23_5	5
24_1	1.5
24_2	1
24_3	1.5
24_4	1.5
24_5	4.5
25_1	2.5
25_2	4
25_3	2
25_4	2
25_5	5
26_1	5
26_2	5
26_3	5
26_4	1
26_5	5
27_1	5
27_2	3
27_3	4.5
27_4	4.5
27_5	4
28_1	1
28_2	4.5
28_3	2.5
28_4	1
28_5	1
29_1	1
29_2	2.5
29_3	3
29_4	1
29_5	5
30_1	1.5
30_2	3
30_3	5
30_4	4.5
30_5	1.5
31_1	4
31_2	4
31_3	5
31_4	4.5
31_5	2
32_1	5
32_2	5
32_3	2.5
32_4	3.5
32_5	5
33_1	3.5
33_2	5
33_3	5
33_4	4
33_5	5
34_1	2
34_2	2.5
34_3	3.5
34_4	5
34_5	2
35_1	3.5
35_2	4
35_3	5
35_4	3.5
35_5	3
36_1	1.5
36_2	1
36_3	2.5
36_4	1.5
36_5	5
37_1	2.5
37_2	3
37_3	5
37_4	3
37_5	5
38_1	3
38_2	1
38_3	3.5
38_4	1.5
38_5	4.5
39_1	2.5
39_2	1.5
39_3	1.5
39_4	4.5
39_5	2.5
40_1	1
40_2	1
40_3	1
40_4	5
40_5	1
41_1	2.5
41_2	0.5
41_3	5
41_4	1
41_5	1.5
42_1	1.5
42_2	3
42_3	4.5
42_4	4.5
42_5	2
43_1	3
43_2	1
43_3	1.5
43_4	5
43_5	2
44_1	4
44_2	5
44_3	5
44_4	1
44_5	4.5
45_1	3
45_2	2
45_3	1.5
45_4	4.5
45_5	5
46_1	1
46_2	1
46_3	1.5
46_4	5
46_5	4
47_1	3
47_2	2.5
47_3	5
47_4	4
47_5	4
48_1	2
48_2	5
48_3	1
48_4	1
48_5	2.5
49_1	4.5
49_2	2
49_3	2
49_4	5
49_5	1
50_1	4.5
50_2	4.5
50_3	2.5
50_4	3
50_5	4
51_1	5
51_2	4
51_3	4.5
51_4	1
51_5	1
52_1	2
52_2	4.5
52_3	4.5
52_4	3.5
52_5	4.5
53_1	3
53_2	5
53_3	4.5
53_4	5
53_5	3.5
54_1	4.5
54_2	3
54_3	2.5
54_4	3
54_5	3.5
55_1	2
55_2	1
55_3	1
55_4	3
55_5	2.5
56_1	5
56_2	4.5
56_3	2
56_4	4.5
56_5	3.5
57_1	5
57_2	2.5
57_3	2
57_4	1
57_5	1
58_1	4.5
58_2	2.5
58_3	2
58_4	3
58_5	5
59_1	1
59_2	2.5
59_3	5
59_4	1.5
59_5	3
60_1	1.5
60_2	1.5
60_3	5
60_4	4
60_5	1.5
61_1	2
61_2	4.5
61_3	1
61_4	4.5
61_5	3
62_1	3
62_2	3
62_3	4
62_4	3.5
62_5	3.5
63_1	3.5
63_2	4
63_3	2
63_4	3.5
63_5	1
64_1	1
64_2	4
64_3	4.5
64_4	5
64_5	3.5
65_1	5
65_2	1
65_3	5
65_4	5
65_5	4.5
66_1	5
66_2	5
66_3	4
66_4	2.5
66_5	4.5
67_1	1.5
67_2	3
67_3	5
67_4	1
67_5	2
68_1	5
68_2	1.5
68_3	3.5
68_4	1.5
68_5	5
69_1	3.5
69_2	1.5
69_3	2.5
69_4	5
69_5	2
70_1	3
70_2	3.5
70_3	5
70_4	3
70_5	1
71_1	4
71_2	4.5
71_3	3
71_4	2
71_5	4
72_1	5
72_2	4
72_3	4.5
72_4	1.5
72_5	2
73_1	4.5
73_2	4
73_3	3
73_4	3.5
73_5	5
74_1	1.5
74_2	4.5
74_3	3.5
74_4	5
74_5	2
75_1	1.5
75_2	5
75_3	4
75_4	4
75_5	5
76_1	4
76_2	2
76_3	2
76_4	4.5
76_5	5
77_1	1
77_2	5
77_3	1
77_4	1
77_5	2
78_1	1
78_2	4.5
78_3	5
78_4	1
78_5	2
79_1	4
79_2	3.5
79_3	3
79_4	4.5
79_5	3
80_1	2.5
80_2	2.5
80_3	5
80_4	5
80_5	1.5
81_1	5
81_2	5
81_3	1
81_4	5
81_5	1
82_1	5
82_2	4.5
82_3	5
82_4	4
82_5	2
83_1	5
83_2	1
83_3	1
83_4	1
83_5	3
84_1	5
84_2	3.5
84_3	4.5
84_4	5
84_5	5
85_1	5
85_2	2.5
85_3	5
85_4	4.5
85_5	1.5
86_1	5
86_2	1
86_3	3
86_4	3.5
86_5	2.5
87_1	2
87_2	1
87_3	3
87_4	5
87_5	1
88_1	5
88_2	5
88_3	1
88_4	1.5
88_5	4.5
89_1	1
89_2	2
89_3	1
89_4	3
89_5	1
