0_1	PLAUSIBLE
0_2	PLAUSIBLE
0_3	IMPLAUSIBLE
0_4	IMPLAUSIBLE
0_5	IMPLAUSIBLE
1_1	IMPLAUSIBLE
1_2	PLAUSIBLE
1_3	PLAUSIBLE
1_4	NEUTRAL
1_5	NEUTRAL
2_1	PLAUSIBLE
2_2	NEUTRAL
2_3	NEUTRAL
2_4	IMPLAUSIBLE
2_5	PLAUSIBLE
3_1	PLAUSIBLE
3_2	PLAUSIBLE
3_3	NEUTRAL
3_4	NEUTRAL
3_5	IMPLAUSIBLE
4_1	IMPLAUSIBLE
4_2	IMPLAUSIBLE
4_3	IMPLAUSIBLE
4_4	IMPLAUSIBLE
4_5	PLAUSIBLE
5_1	PLAUSIBLE
5_2	PLAUSIBLE
5_3	IMPLAUSIBLE
5_4	NEUTRAL
5_5	IMPLAUSIBLE
6_1	PLAUSIBLE
6_2	PLAUSIBLE
6_3	PLAUSIBLE
6_4	IMPLAUSIBLE
6_5	PLAUSIBLE
7_1	PLAUSIBLE
7_2	NEUTRAL
7_3	IMPLAUSIBLE
7_4	IMPLAUSIBLE
7_5	PLAUSIBLE
8_1	IMPLAUSIBLE
8_2	NEUTRAL
8_3	PLAUSIBLE
8_4	PLAUSIBLE
8_5	IMPLAUSIBLE
9_1	PLAUSIBLE
9_2	IMPLAUSIBLE
9_3	IMPLAUSIBLE
9_4	PLAUSIBLE
9_5	PLAUSIBLE
10_1	PLAUSIBLE
10_2	PLAUSIBLE
10_3	PLAUSIBLE
10_4	IMPLAUSIBLE
10_5	IMPLAUSIBLE
11_1	PLAUSIBLE
11_2	PLAUSIBLE
11_3	NEUTRAL
11_4	PLAUSIBLE
11_5	PLAUSIBLE
12_1	IMPLAUSIBLE
12_2	IMPLAUSIBLE
12_3	PLAUSIBLE
12_4	PLAUSIBLE
12_5	PLAUSIBLE
13_1	IMPLAUSIBLE
13_2	PLAUSIBLE
13_3	IMPLAUSIBLE
13_4	PLAUSIBLE
13_5	PLAUSIBLE
14_1	PLAUSIBLE
14_2	IMPLAUSIBLE
14_3	PLAUSIBLE
14_4	PLAUSIBLE
14_5	NEUTRAL
15_1	PLAUSIBLE
15_2	PLAUSIBLE
15_3	PLAUSIBLE
15_4	PLAUSIBLE
15_5	IMPLAUSIBLE
16_1	NEUTRAL
16_2	IMPLAUSIBLE
16_3	NEUTRAL
16_4	PLAUSIBLE
16_5	PLAUSIBLE
17_1	PLAUSIBLE
17_2	NEUTRAL
17_3	PLAUSIBLE
17_4	PLAUSIBLE
17_5	PLAUSIBLE
18_1	IMPLAUSIBLE
18_2	PLAUSIBLE
18_3	PLAUSIBLE
18_4	PLAUSIBLE
18_5	PLAUSIBLE
19_1	PLAUSIBLE
19_2	NEUTRAL
19_3	IMPLAUSIBLE
19_4	PLAUSIBLE
19_5	IMPLAUSIBLE
20_1	PLAUSIBLE
20_2	IMPLAUSIBLE
20_3	PLAUSIBLE
20_4	IMPLAUSIBLE
20_5	IMPLAUSIBLE
21_1	PLAUSIBLE
21_2	IMPLAUSIBLE
21_3	IMPLAUSIBLE
21_4	IMPLAUSIBLE
21_5	PLAUSIBLE
22_1	PLAUSIBLE
22_2	PLAUSIBLE
22_3	IMPLAUSIBLE
22_4	PLAUSIBLE
22_5	PLAUSIBLE
23_1	IMPLAUSIBLE
23_2	PLAUSIBLE
23_3	IMPLAUSIBLE
23_4	PLAUSIBLE
23_5	PLAUSIBLE
24_1	IMPLAUSIBLE
24_2	IMPLAUSIBLE
24_3	IMPLAUSIBLE
24_4	IMPLAUSIBLE
24_5	PLAUSIBLE
25_1	IMPLAUSIBLE
